
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_Rc%2.2f.dat', Rc) u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
1.34264 0.842575 2.5 
1.33792 0.844983 2.5 
1.33227 0.847863 2.5 
1.32191 0.853146 2.5 
1.31759 0.855351 2.5 
1.31154 0.858436 2.5 
1.30117 0.863718 2.5 
1.29725 0.865719 2.5 
1.2908 0.869009 2.5 
1.28043 0.87429 2.5 
1.27692 0.876087 2.5 
1.27007 0.879583 2.5 
1.2597 0.884862 2.5 
1.25658 0.886455 2.5 
1.24933 0.890156 2.5 
1.23896 0.895434 2.5 
1.23625 0.896823 2.5 
1.2286 0.900729 2.5 
1.21823 0.906005 2.5 
1.21591 0.907191 2.5 
1.20786 0.911303 2.5 
1.19749 0.916577 2.5 
1.19557 0.917559 2.5 
1.18712 0.921876 2.5 
1.17676 0.927148 2.5 
1.17524 0.927926 2.5 
1.16639 0.932449 2.5 
1.15602 0.937719 2.5 
1.1549 0.938294 2.5 
1.14565 0.943022 2.5 
1.13528 0.94829 2.5 
1.13456 0.948662 2.5 
1.12492 0.953595 2.5 
1.11455 0.958861 2.5 
1.11422 0.95903 2.5 
1.10418 0.964168 2.5 
1.09388 0.969398 2.5 
1.09381 0.969433 2.5 
1.08344 0.974741 2.5 
1.07355 0.979766 2.5 
1.07308 0.980007 2.5 
1.06271 0.985314 2.5 
1.05322 0.990134 2.5 
1.05234 0.990581 2.5 
1.04197 0.995887 2.5 
1.03289 1.0005 2.5 
1.03161 1.00116 2.5 
1.02124 1.00646 2.5 
1.01256 1.01087 2.5 
1.01087 1.01173 2.5 
1.0005 1.01703 2.5 
0.992234 1.02124 2.5 
0.990134 1.0223 2.5 
0.979766 1.0276 2.5 
0.971904 1.03161 2.5 
0.969398 1.03288 2.5 
0.95903 1.03818 2.5 
0.951574 1.04197 2.5 
0.948662 1.04345 2.5 
0.938294 1.04875 2.5 
0.931243 1.05234 2.5 
0.927926 1.05403 2.5 
0.917559 1.05932 2.5 
0.910912 1.06271 2.5 
0.907191 1.0646 2.5 
0.896823 1.06989 2.5 
0.89058 1.07308 2.5 
0.886455 1.07518 2.5 
0.876087 1.08047 2.5 
0.870248 1.08344 2.5 
0.865719 1.08575 2.5 
0.855351 1.09104 2.5 
0.849915 1.09381 2.5 
0.844983 1.09632 2.5 
0.834615 1.10161 2.5 
0.829583 1.10418 2.5 
0.824247 1.1069 2.5 

